Year,New south wales,Victoria,Queensland,South australia,Western australia,Tasmania,Northern territory,Australian capital territory
2008-09,548,331,340,128,335,69,39,27
2009-10,556,323,356,123,348,73,37,28
2010-11,527,311,311,115,310,69,31,25
2011-12,511,324,345,121,308,56,34,26
2012-13,565,357,359,130,333,39,32,30
2013-14,565,366,370,125,339,38,37,31
2014-15,556,367,376,125,326,37,35,29
